feature,importance
hour,0.26512394698158304
month,0.20497068780602454
centreline_445213,0.09949463131739728
centreline_7268,0.08605840158264937
centreline_443306,0.05554098254039758
centreline_108009,0.05317264527585116
centreline_30144287,0.0531600734641108
centreline_60015951,0.021992475377141253
centreline_913823,0.021765491020059927
centreline_111648,0.019836812140986575
centreline_30006935,0.01912399530444707
day_of_week,0.018321617417397018
centreline_908310,0.016870573937635108
centreline_1726,0.012194423213717767
centreline_446281,0.008501563782752386
centreline_1142497,0.006846545484924677
is_weekend,0.006382333171360435
centreline_109322,0.005345402134371633
centreline_109441,0.004163594998921361
centreline_60036111,0.0034956284546491067
centreline_109215,0.003017824851988052
centreline_60034060,0.0027236514964121532
centreline_8492199,0.002373693395624965
centreline_14013655,0.002286346213309392
centreline_60028766,0.0013140807766601939
centreline_30091371,0.0009638250718849454
centreline_30147855,0.0007905797054985829
centreline_7298,0.0007528940155546083
centreline_7063031,0.0005927439509307797
centreline_1142568,0.0005521904799774387
centreline_30062058,0.0005405980649847425
centreline_30082355,0.0005275612840733376
centreline_30120867,0.0003086494506154141
centreline_30145777,0.00018905371916894755
centreline_1147102,0.0001594018339586915
centreline_908035,0.00013774995931146696
centreline_1146369,0.00010306986675306934
centreline_5704657,8.651219015742725e-05
centreline_8015912,6.861141216596669e-05
centreline_30091375,6.652426266058342e-05
centreline_30005914,3.1818830954739065e-05
centreline_2893418,2.269507476262188e-05
centreline_912406,1.1408462740634766e-05
centreline_908227,6.840806520243488e-06
centreline_5478971,5.586806793859997e-06
centreline_908287,2.566846684353418e-06
centreline_9667114,1.3407491447699685e-06
centreline_907934,1.5028114889699323e-07
centreline_912302,1.3534585761142926e-07
centreline_9667095,5.2176994760119984e-08
centreline_6151494,1.6273735377750634e-08
centreline_30102651,9.035334606602135e-10
centreline_9667233,3.305985080705088e-11
